symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,highway-mpg,price,volume
0,113.16666666666667,volkswagen,diesel,turbo,four,sedan,fwd,front,ohc,four,97,idi,3.01,3.4,23.0,68.0,4500.0,38,13845.0,664251.4380000001
0,113.16666666666667,volkswagen,gas,std,four,wagon,fwd,front,ohc,four,109,mpfi,3.19,3.4,9.0,88.0,5500.0,31,12290.0,674941.389
-2,103.0,volvo,gas,std,four,sedan,rwd,front,ohc,four,141,mpfi,3.78,3.15,9.5,114.0,5400.0,28,12940.0,713029.6320000001
-1,74.0,volvo,gas,std,four,wagon,rwd,front,ohc,four,141,mpfi,3.78,3.15,9.5,114.0,5400.0,28,13415.0,729523.2000000001
-2,103.0,volvo,gas,std,four,sedan,rwd,front,ohc,four,141,mpfi,3.78,3.15,9.5,114.0,5400.0,28,15985.0,713029.6320000001
-1,74.0,volvo,gas,std,four,wagon,rwd,front,ohc,four,141,mpfi,3.78,3.15,9.5,114.0,5400.0,28,16515.0,729523.2000000001
-2,103.0,volvo,gas,turbo,four,sedan,rwd,front,ohc,four,130,mpfi,3.62,3.15,7.5,162.0,5100.0,22,18420.0,713029.6320000001
-1,74.0,volvo,gas,turbo,four,wagon,rwd,front,ohc,four,130,mpfi,3.62,3.15,7.5,162.0,5100.0,22,18950.0,729523.2000000001
-1,95.0,volvo,gas,std,four,sedan,rwd,front,ohc,four,141,mpfi,3.78,3.15,9.5,114.0,5400.0,28,16845.0,721961.7600000001
-1,95.0,volvo,gas,turbo,four,sedan,rwd,front,ohc,four,141,mpfi,3.78,3.15,8.7,160.0,5300.0,25,19045.0,720913.92
-1,95.0,volvo,gas,std,four,sedan,rwd,front,ohcv,six,173,mpfi,3.58,2.87,8.8,134.0,5500.0,23,21485.0,721961.7600000001
-1,95.0,volvo,diesel,turbo,four,sedan,rwd,front,ohc,six,145,idi,3.01,3.4,23.0,106.0,4800.0,27,22470.0,721961.7600000001
-1,95.0,volvo,gas,turbo,four,sedan,rwd,front,ohc,four,141,mpfi,3.78,3.15,9.5,114.0,5400.0,25,22625.0,721961.7600000001
